Station,Latitude,Longitude
Admiralty,1.440609,103.800941
Aljunied,1.316416,103.882805
Ang Mo Kio,1.369985,103.849606
Bartley,1.342859,103.879682
Bayfront,1.28134,103.858947
Beauty World,1.341557,103.775743
Bedok,1.324043,103.93013
Bedok North,1.335268,103.918021
Bedok Reservoir,1.336542,103.933088
Bencoolen,1.298439,103.849946
Bendemeer,1.31361,103.863055
Bishan,1.35086,103.848203
Boon Keng,1.320102,103.86158
Boon Lay,1.338543,103.705805
Botanic Gardens,1.322333,103.81483
Braddell,1.340536,103.847057
Bras Basah,1.296978,103.850683
Buangkok,1.382991,103.893315
Bugis,1.300663,103.855856
Bukit Batok,1.349066,103.749539
Bukit Gombak,1.359061,103.751848
Bukit Panjang,1.378616,103.761485
Buona Vista,1.307302,103.790109
Caldecott,1.337627,103.839541
Canberra,1.44331,103.829585
Cashew,1.369951,103.764559
Changi Airport,1.3576,103.988498
Chinatown,1.284513,103.843551
Chinese Garden,1.342425,103.732601
Choa Chu Kang,1.385359,103.744244
City Hall,1.293079,103.85206
Clarke Quay,1.288166,103.846664
Clementi,1.314879,103.76535
Commonwealth,1.302417,103.798348
Dakota,1.308378,103.888781
Dhoby Ghaut,1.299094,103.845782
Dover,1.311436,103.778575
Downtown,1.27949,103.852759
Esplanade,1.293973,103.855321
Eunos,1.319734,103.902886
Expo,1.334426,103.961309
Farrer Park,1.312636,103.854799
Farrer Road,1.317606,103.8077
Fort Canning,1.292394,103.844089
Gardens by the Bay,1.280069,103.867884
Geylang Bahru,1.32147,103.871467
Great World,1.294833,103.833391
Gul Circle,1.319759,103.660816
HarbourFront,1.265614,103.820664
Havelock,1.288111,103.833575
Haw Par Villa,1.283095,103.781948
Hillview,1.362216,103.767078
Holland Village,1.311167,103.796087
Hougang,1.371331,103.892598
Jalan Besar,1.30553,103.85539
Joo Koon,1.327748,103.678315
Jurong East,1.333149,103.74228
Kaki Bukit,1.33492,103.908963
Kallang,1.311486,103.871357
Kembangan,1.321,103.912856
Kent Ridge,1.293597,103.784494
Khatib,1.417381,103.83298
King Albert Park,1.335667,103.783171
Kovan,1.360186,103.885173
Kranji,1.425245,103.762044
Labrador Park,1.272169,103.802557
Lakeside,1.344244,103.720742
Lavender,1.307424,103.862837
Little India,1.306637,103.849407
Lorong Chuan,1.351509,103.864968
MacPherson,1.326741,103.889831
Marina Bay,1.276399,103.854533
Marina South,1.273936,103.863302
Marina South Pier,1.271381,103.863575
Marsiling,1.432565,103.774177
Marymount,1.349036,103.839127
Mattar,1.3269,103.883399
Mountbatten,1.306138,103.883132
Newton,1.313818,103.838068
Nicoll Highway,1.300217,103.863535
Novena,1.320032,103.843387
one-north,1.299811,103.787648
Orchard,1.304017,103.831783
Outram Park,1.280255,103.839481
Pasir Panjang,1.276079,103.792011
Pasir Ris,1.373191,103.949336
Paya Lebar,1.318158,103.893134
Pioneer,1.337601,103.697384
Potong Pasir,1.331294,103.868747
Promenade,1.294042,103.860167
Punggol,1.405149,103.902367
Queenstown,1.294839,103.805855
Raffles Place,1.284036,103.851412
Redhill,1.289641,103.81668
Rochor,1.303483,103.852484
Sembawang,1.44909,103.819994
Sengkang,1.391653,103.895423
Serangoon,1.34983,103.87371
Simei,1.343154,103.95334
Sixth Avenue,1.331199,103.797266
Somerset,1.300451,103.83844
Stadium,1.302772,103.875417
Stevens,1.31998,103.825986
Tai Seng,1.335854,103.887802
Tampines,1.354405,103.943288
Tampines East,1.356265,103.955359
Tampines West,1.345497,103.938244
Tan Kah Kee,1.325803,103.807936
Tanah Merah,1.327255,103.94649
Tanjong Pagar,1.276351,103.846782
Telok Ayer,1.282244,103.848589
Telok Blangah,1.270758,103.809921
Tiong Bahru,1.286523,103.826946
Toa Payoh,1.332342,103.847441
Tuas Crescent,1.32103,103.649057
Tuas Link,1.340497,103.636808
Tuas West Road,1.330006,103.639542
Ubi,1.329933,103.898911
Upper Changi,1.341639,103.961398
Woodlands,1.436949,103.786396
Woodleigh,1.339149,103.870788
Yew Tee,1.397347,103.747501
Yio Chu Kang,1.38171,103.844911
Yishun,1.429467,103.835031
